File Number,Date,Source,Allegation,Status,Finding,Case Status
15-0044,03/13/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
14-0105,05/16/2014,External,Courtesy,Completed,Declined,
18-0229,12/04/2018,External,Conformance to Law,Completed,Administrative Closure,
18-0247,01/03/2019,External,Courtesy,Completed,Unfounded,
18-0202,10/24/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
20-0038,02/13/2020,Internal,Use of Force,Completed,Exonerated,
18-0247,01/03/2019,External,Use of Force,Completed,Exonerated,
19-0190,10/14/2019,External,Conformance to Law,Completed,Corrective Action Taken,
17-0023,02/02/2017,External,Conformance to Law,Completed,Declined,
23-0037,03/21/2023,Internal,Conformance to Law,Active,,Trial Board
18-0229,12/04/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
19-0186,10/10/2019,External,Courtesy,Completed,Corrective Action Taken,
19-0218,10/31/2019,External,Courtesy,Completed,No Corrective Action Tak,
19-0206,10/21/2019,External,Courtesy,Completed,No Corrective Action Tak,
18-0202,10/24/2018,Internal,Use of Force,Completed,Exonerated,
13-0214,08/13/2013,External,Courtesy,Completed,Corrective Action Taken,
19-0212,10/24/2019,External,Courtesy,Completed,No Corrective Action Tak,
19-0212,10/24/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0234,09/26/2016,External,Conformance to Law,Completed,Declined,
14-0064,04/04/2014,External,Conformance to Law,Completed,Administrative Closure,
19-0187,10/14/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
18-0222,11/29/2018,External,Conduct Unbecoming,Completed,Administrative Closure,
17-0196,08/24/2017,External,Conformance to Law,Completed,Declined,
19-0182,10/08/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0208,10/21/2019,External,Conformance to Law,Completed,Corrective Action Taken,
19-0221,11/05/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0187,10/14/2019,External,Maintenance of Property,Completed,No Corrective Action Tak,
19-0175,09/20/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
17-0241,10/12/2017,External,Conformance to Law,Completed,Declined,
19-0187,10/14/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
23-0147,08/11/2023,External,Conformance to Law,Completed,Declined,Closed
19-0141,08/19/2019,External,Conformance to Law,Completed,Corrective Action Taken,
19-0208,10/21/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
15-0139,08/04/2015,External,Conformance to Law,Completed,Declined,
19-0191,10/14/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
17-0028,02/06/2017,External,Conformance to Law,Completed,Declined,
19-0191,10/14/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
21-0150,08/19/2021,External,Conduct Unbecoming,Completed,Exonerated,
19-0098,06/18/2019,Internal,Conformance to Law,Completed,No Corrective Action Tak,
16-0011,01/14/2016,External,Courtesy,Completed,Administrative Closure,
14-0208,10/15/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0029,02/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
21-0098,06/17/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0216,12/21/2020,External,Conformance to Law,Completed,Corrective Action Taken,
15-0143,08/04/2015,Internal,Untruthful Statements,Completed,Administrative Closure,
21-0098,06/17/2021,External,Untruthful Statements,Completed,Declined,
20-0197,11/18/2020,External,Courtesy,Completed,No Corrective Action Tak,
18-0213,11/05/2018,Internal,Conformance to Law,Completed,Administrative Closure,
19-0098,06/18/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0233,11/19/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0231,11/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
21-0098,06/17/2021,External,Abuse of Authority,Completed,Declined,
21-0097,06/17/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0216,12/21/2020,External,Use of Force,Completed,Declined,
21-0150,08/19/2021,External,Conformance to Law,Completed,Exonerated,
22-0110,06/21/2022,External,Discrim/Harassment/Use of Derogatory Language,Completed,Declined,
19-0098,06/18/2019,Internal,Compliance with Orders,Completed,No Corrective Action Tak,
19-0231,11/19/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
20-0073,04/16/2020,Internal,Conformance to Law,Completed,Administrative Closure,
20-0029,02/10/2020,External,Untruthful Statements,Completed,Exonerated,
18-0165,09/20/2018,External,Conduct Unbecoming,Completed,Sustained,
19-0108,07/16/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
18-0165,09/20/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
18-0165,09/20/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
19-0209,10/21/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
21-0018,01/25/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0111,07/16/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
19-0112,07/17/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0112,07/17/2019,External,Conduct Unbecoming,Completed,No Corrective Action Tak,
19-0168,09/12/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0081,04/30/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0167,09/12/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0260,12/31/2019,External,Conformance to Law,Completed,Declined,
19-0260,12/31/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0209,10/21/2019,External,Courtesy,Completed,Corrective Action Taken,
19-0158,09/05/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0042,02/21/2020,External,Conformance to Law,Completed,Declined,
20-0002,01/23/2020,External,Courtesy,Completed,Corrective Action Taken,
20-0043,02/21/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0264,01/14/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0246,12/10/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0260,12/31/2019,External,Use of Force,Completed,Declined,
19-0157,09/05/2019,Internal,Abuse of Authority,Completed,Declined,
16-0307,12/27/2016,External,Conformance to Law,Completed,Declined,
19-0246,12/10/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0169,09/12/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0037,02/28/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
21-0019,01/25/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0189,10/14/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0108,07/16/2019,External,Conformance to Law,Completed,Administrative Closure,
19-0242,12/05/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
17-0008,01/17/2017,External,Conformance to Law,Completed,Declined,
19-0242,12/05/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
17-0010,01/19/2017,External,Conduct Unbecoming,Completed,Sustained,
17-0010,01/19/2017,External,Compliance with Orders,Completed,Sustained,
17-0125,06/02/2017,Internal,Untruthful Statements,Completed,Sustained,
16-0027,02/10/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
19-0248,12/12/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0260,10/27/2016,Internal,Conduct Unbecoming,Completed,Sustained,
17-0125,06/02/2017,Internal,Abuse of Process,Completed,Sustained,
17-0261,11/13/2017,External,Integrity Of report Sys,Completed,Administrative Closure,
16-0027,02/10/2016,Internal,Conformance to Law,Completed,Administrative Closure,
17-0125,06/02/2017,Internal,Conformance to Law,Completed,Sustained,
17-0125,06/02/2017,Internal,Conduct Unbecoming,Completed,Sustained,
14-0242,12/16/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0128,07/30/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
17-0246,10/30/2017,Internal,Use of Force,Completed,Sustained,
19-0041,03/14/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
18-0134,08/07/2018,Internal,Conformance to Law,Completed,Sustained,
16-0249,10/18/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Insufficent Evidence,
16-0249,10/18/2016,Internal,Conduct Unbecoming,Completed,Sustained,
23-0257,12/04/2023,External,Courtesy,Completed,Declined,Closed
19-0220,11/05/2019,External,Conformance to Law,Completed,Corrective Action Taken,
18-0248,01/03/2019,External,Conduct Unbecoming,Completed,Exonerated,
18-0248,01/03/2019,External,Conformance to Law,Completed,Administrative Closure,
19-0244,12/05/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
18-0248,01/03/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
15-0091,05/22/2015,,Conformance to Law,Completed,Declined,
15-0029,03/04/2015,External,Conformance to Law,Completed,Declined,
17-0097,04/27/2017,External,Conformance to Law,Completed,Declined,
19-0216,10/30/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0241,12/03/2019,External,Conformance to Law,Completed,Corrective Action Taken,
19-0262,01/13/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0181,10/08/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0099,06/18/2019,External,Conformance to Law,Completed,Corrective Action Taken,
19-0216,10/30/2019,External,Courtesy,Completed,Corrective Action Taken,
19-0202,10/17/2019,External,Courtesy,Completed,Corrective Action Taken,
19-0202,10/17/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
18-0248,01/03/2019,External,Use of Force,Completed,Unfounded,
18-0248,01/03/2019,External,Conformance to Law,Completed,Sustained,
19-0216,10/30/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
18-0248,01/03/2019,External,Maintenance of Property,Completed,Administrative Closure,
18-0134,08/07/2018,Internal,Att to Duty/Use Alch-Drugs,Completed,Sustained,
20-0029,02/10/2020,External,Conformance to Law,Completed,Administrative Closure,
19-0108,07/16/2019,External,Use of Force,Completed,Sustained,
19-0241,12/03/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0181,10/08/2019,External,Courtesy,Completed,Corrective Action Taken,
19-0216,10/30/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0244,12/05/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
18-0204,10/30/2018,Internal,Conformance to Law,Completed,No Corrective Action Tak,
19-0032,02/22/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
21-0017,01/25/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0207,10/21/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0207,10/21/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0188,10/14/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0207,10/21/2019,External,Courtesy,Completed,No Corrective Action Tak,
19-0253,12/17/2019,External,Conformance to Law,Completed,Corrective Action Taken,
13-0322,12/02/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
20-0199,11/19/2020,External,Conformance to Law,Completed,Declined,
13-0322,12/02/2013,External,Abuse of Authority,Completed,Administrative Closure,
19-0243,12/05/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
21-0097,06/17/2021,External,Courtesy,Completed,Declined,
20-0216,12/21/2020,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0253,12/17/2019,External,Carry Credent/Identification,Completed,Corrective Action Taken,
19-0243,12/05/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
21-0098,06/17/2021,External,Conformance to Law,Completed,Declined,
19-0211,10/23/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0238,11/26/2019,External,Conformance to Law,Completed,Corrective Action Taken,
19-0239,11/26/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0238,11/26/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
14-0213,10/22/2014,External,Conformance to Law,Completed,Declined,
22-0062,04/11/2022,External,Conformance to Law,Completed,Exonerated,
21-0105,06/30/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
21-0017,01/25/2021,External,Courtesy,Completed,Declined,
19-0211,10/23/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
21-0016,01/25/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0253,12/17/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
18-0152,09/04/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0194,10/26/2015,External,Conformance to Law,Completed,Declined,
20-0073,04/16/2020,Internal,Abuse of Process,Completed,Administrative Closure,
20-0073,04/16/2020,Internal,Conduct Unbecoming,Completed,Administrative Closure,
20-0014,01/27/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0018,01/28/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0170,09/24/2020,External,Conformance to Law,Completed,No Corrective Action Tak,
17-0006,01/17/2017,External,Conformance to Law,Completed,Declined,
14-0040,03/04/2014,External,Conformance to Law,Completed,Administrative Closure,
21-0018,01/25/2021,External,Courtesy,Completed,Declined,
20-0015,01/27/2020,External,Use of Force,Completed,Declined,
20-0017,01/28/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
21-0102,06/29/2021,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0232,11/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0016,01/27/2020,External,Conduct Unbecoming,Completed,Declined,
20-0020,01/29/2020,External,Conduct Unbecoming,Completed,Declined,
19-0232,11/19/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
20-0019,01/29/2020,External,Conformance to Law,Completed,Declined,
16-0261,10/27/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0014,01/27/2020,External,Use of Force,Completed,Declined,
19-0256,12/24/2019,External,Conformance to Law,Completed,Corrective Action Taken,
20-0186,10/15/2020,External,Conformance to Law,Completed,Corrective Action Taken,
14-0207,10/15/2014,External,Conformance to Law,Completed,Declined,
20-0073,04/16/2020,Internal,Untruthful Statements,Completed,Administrative Closure,
18-0218,11/20/2018,Internal,Conformance to Law,Completed,Administrative Closure,
21-0077,05/03/2021,External,Conformance to Law,Completed,No Corrective Action Tak,
20-0098,06/08/2020,External,Courtesy,Completed,Corrective Action Taken,
21-0099,06/22/2021,External,Conformance to Law,Completed,Declined,
19-0259,12/31/2019,External,Courtesy,Completed,Corrective Action Taken,
19-0235,11/19/2019,Internal,Conformance to Law,Completed,Corrective Action Taken,
21-0101,06/23/2021,External,Conformance to Law,Completed,Declined,
20-0073,04/16/2020,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
19-0183,10/08/2019,External,Courtesy,Completed,No Corrective Action Tak,
19-0235,11/19/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
18-0218,11/20/2018,Internal,Conduct Unbecoming,Completed,Administrative Closure,
21-0077,05/03/2021,External,Courtesy,Completed,No Corrective Action Tak,
19-0259,12/31/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0259,12/31/2019,External,Conformance to Law,Completed,Corrective Action Taken,
14-0063,04/04/2014,External,Conformance to Law,Completed,Declined,
21-0101,06/23/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0247,12/10/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
21-0100,06/22/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
17-0142,06/13/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0103,06/08/2020,Internal,Use of Force,Completed,Administrative Closure,
15-0040,03/09/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0045,03/26/2019,Internal,Punctuality,Completed,Administrative Closure,
21-0161,09/08/2021,External,Courtesy,Completed,Corrective Action Taken,
19-0045,03/26/2019,Internal,Conformance to Law,Completed,Administrative Closure,
19-0045,03/26/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
20-0034,02/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0035,02/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
22-0062,04/11/2022,External,Courtesy,Completed,Exonerated,
20-0036,02/11/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
18-0044,03/14/2018,Internal,Use of Force,Completed,Sustained,
16-0322,01/05/2017,External,Conduct Unbecoming,Completed,Sustained,
20-0021,01/29/2020,Internal,Conduct Unbecoming,Completed,Sustained,
20-0033,02/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0011,01/27/2020,External,Conformance to Law,Completed,Corrective Action Taken,
17-0262,11/13/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
18-0030,02/21/2018,External,Conformance to Law,Completed,Administrative Closure,
18-0030,02/21/2018,External,Conduct Unbecoming,Completed,Administrative Closure,
19-0261,01/07/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0261,01/07/2020,External,Courtesy,Completed,Corrective Action Taken,
15-0067,04/17/2015,External,Conformance to Law,Completed,Declined,
20-0013,01/27/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0025,02/04/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
20-0064,03/16/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
19-0105,06/26/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
15-0107,06/17/2015,External,Conformance to Law,Completed,Declined,
19-0155,09/04/2019,Internal,Conduct Unbecoming,Completed,Corrective Action Taken,
19-0263,01/14/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
21-0002,01/04/2021,Internal,Conformance to Law,Completed,Administrative Closure,
19-0264,01/14/2020,External,Carry Credent/Identification,Completed,Corrective Action Taken,
20-0010,01/24/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
21-0032,02/17/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0204,12/14/2020,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
19-0263,01/14/2020,External,Courtesy,Completed,Corrective Action Taken,
19-0105,06/26/2019,Internal,Compliance with Orders,Completed,Corrective Action Taken,
18-0216,11/19/2018,Internal,Conformance to Law,Completed,Exonerated,
19-0155,09/04/2019,Internal,Compliance with Orders,Completed,Corrective Action Taken,
22-0026,01/24/2022,External,Use of Force,Completed,Declined,
19-0263,01/14/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0155,09/04/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
20-0182,10/15/2020,External,Conduct Unbecoming,Completed,Corrective Action Taken,
21-0203,11/01/2021,External,Courtesy,Completed,No Corrective Action Tak,
20-0204,12/14/2020,Internal,Discrim/Race/Sex,Completed,Unfounded,
21-0104,06/29/2021,External,Conformance to Law,Completed,Declined,
20-0032,02/10/2020,External,Carry Credent/Identification,Completed,No Corrective Action Tak,
19-0263,01/14/2020,External,Courtesy,Completed,No Corrective Action Tak,
19-0012,01/24/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
18-0216,11/19/2018,Internal,Conformance to Law,Completed,Administrative Closure,
19-0264,01/14/2020,External,Courtesy,Completed,Corrective Action Taken,
18-0216,11/19/2018,Internal,Use of Force,Completed,Exonerated,
18-0216,11/19/2018,Internal,Courtesy,Completed,Administrative Closure,
19-0155,09/04/2019,Internal,Courtesy,Completed,Corrective Action Taken,
18-0088,05/24/2018,Internal,Conduct Unbecoming,Completed,Administrative Closure,
20-0054,03/02/2020,Internal,Conformance to Law,Completed,Administrative Closure,
19-0040,03/14/2019,External,Secondary Employment,Completed,Insufficent Evidence,
18-0136,08/20/2018,Internal,Untruthful Statements,Completed,Administrative Closure,
19-0040,03/14/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,
20-0057,03/03/2020,External,Conformance to Law,Completed,Corrective Action Taken,
18-0136,08/20/2018,Internal,Neglect of Duty,Completed,Administrative Closure,
19-0009,01/17/2019,Internal,Use of Force,Completed,Exonerated,
18-0136,08/20/2018,Internal,Conduct Unbecoming,Completed,Administrative Closure,
19-0040,03/14/2019,External,Conduct Unbecoming,Completed,Exonerated,
17-0016,01/26/2017,External,Conformance to Law,Completed,Declined,
19-0040,03/14/2019,External,Courtesy,Completed,Administrative Closure,
18-0136,08/20/2018,Internal,Conformance to Law,Completed,Administrative Closure,
17-0002,01/17/2017,External,Conformance to Law,Completed,Declined,
19-0044,03/18/2019,Internal,Compliance with Orders,Completed,Administrative Closure,
19-0040,03/14/2019,External,Courtesy,Completed,Exonerated,
19-0009,01/17/2019,Internal,Conformance to Law,Completed,Administrative Closure,
20-0053,03/02/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0054,03/02/2020,Internal,Conduct Unbecoming,Completed,Administrative Closure,
18-0088,05/24/2018,Internal,Conformance to Law,Completed,Administrative Closure,
18-0136,08/20/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
20-0053,03/02/2020,External,Courtesy,Completed,Declined,
18-0255,01/08/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0009,01/17/2019,Internal,Conformance to Law,Completed,Sustained,
18-0088,05/24/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
20-0012,01/27/2020,External,Conformance to Law,Completed,No Corrective Action Tak,
18-0195,10/16/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
21-0161,09/08/2021,External,Conformance to Law,Completed,Corrective Action Taken,
20-0060,03/12/2020,Internal,Use of Force,Completed,Declined,
20-0059,03/12/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
14-0199,09/30/2014,,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
17-0275,11/30/2017,External,Conformance to Law,Completed,Declined,
14-0237,12/11/2014,,Conformance to Law,Completed,Declined,
21-0161,09/08/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
21-0169,09/14/2021,External,Conformance to Law,Completed,Declined,
21-0230,12/27/2021,External,Conformance to Law,Completed,Declined,
19-0049,03/26/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0193,10/15/2019,External,Conformance to Law,Completed,Declined,
19-0049,03/26/2019,Internal,Courtesy,Completed,No Corrective Action Tak,
21-0203,11/01/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0068,03/17/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
21-0222,12/09/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0186,10/15/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
20-0069,03/17/2020,External,Discrim/Race/Sex,Completed,Declined,
22-0080,05/18/2022,External,Courtesy,Completed,No Corrective Action Tak,
20-0098,06/08/2020,External,Courtesy,Completed,No Corrective Action Tak,
22-0058,04/05/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0067,03/17/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0069,03/17/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
15-0007,01/08/2015,,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0069,03/17/2020,External,Conformance to Law,Completed,Declined,
19-0078,04/29/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,
20-0066,03/17/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
21-0103,06/29/2021,External,Abuse of Authority,Completed,No Corrective Action Tak,
23-0037,03/21/2023,Internal,Att to Duty/Use Alch-Drugs,Active,,Trial Board
19-0078,04/29/2019,External,Use of Force,Completed,Exonerated,
19-0078,04/29/2019,External,Untruthful Statements,Completed,Administrative Closure,
21-0126,07/27/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0234,11/19/2019,External,Courtesy,Completed,No Corrective Action Tak,
16-0159,07/19/2016,External,Conformance to Law,Completed,Declined,
22-0142,08/17/2022,Internal,Conduct Unbecoming,Completed,Administrative Closure,Closed
22-0026,01/24/2022,External,Courtesy,Completed,Corrective Action Taken,
21-0122,07/27/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
13-0210,08/12/2013,External,Conformance to Law,Completed,Declined,
19-0078,04/29/2019,External,Conformance to Law,Completed,Exonerated,
20-0112,06/29/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
20-0068,03/17/2020,External,Conformance to Law,Completed,Declined,
16-0298,12/06/2016,External,Conformance to Law,Completed,Declined,
16-0088,04/21/2016,External,Conformance to Law,Completed,Administrative Closure,
20-0103,06/08/2020,Internal,Conformance to Law,Completed,Administrative Closure,
20-0071,03/17/2020,Internal,Att to Duty/Use Alch-Drugs,Completed,Corrective Action Taken,
20-0006,01/23/2020,External,Courtesy,Completed,Corrective Action Taken,
22-0142,08/17/2022,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Closed
19-0230,11/19/2019,External,Courtesy,Completed,Corrective Action Taken,
20-0024,02/04/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0077,04/29/2019,Internal,Conformance to Law,Completed,Administrative Closure,
20-0007,01/24/2020,Internal,Secondary Employment,Completed,Corrective Action Taken,
20-0072,03/17/2020,Internal,Conformance to Law,Completed,Corrective Action Taken,
20-0102,06/08/2020,External,Conduct Unbecoming,Completed,Corrective Action Taken,
19-0230,11/19/2019,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0007,01/15/2019,Internal,Maintenance of Property,Completed,Administrative Closure,
19-0230,11/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0113,05/26/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0102,06/08/2020,External,Conformance to Law,Completed,Corrective Action Taken,
20-0006,01/23/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0071,03/17/2020,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
20-0072,03/17/2020,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
24-0061,04/29/2024,External,Conformance to Law,Completed,Declined,Closed
24-0063,04/29/2024,External,,Completed,,Closed
